task_id,condition,repetition,atomic_fact_count,disclosed_fact_count,disclosure_rate,local_evidence_reanchors,audit_code_commit
2,fixed-60,2,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,dynamic-60,2,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-reveal-all,2,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,dynamic-reveal-all,2,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,structured-12,2,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-12,2,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,single-local,2,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-60,3,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,dynamic-60,3,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-reveal-all,3,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,dynamic-reveal-all,3,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,structured-12,3,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-12,3,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,single-local,3,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-60,4,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,dynamic-60,4,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-reveal-all,4,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,dynamic-reveal-all,4,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,structured-12,4,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-12,4,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,single-local,4,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
2,fixed-60,5,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
